"","Year","AirportName","Temperature"
"198",1994,"NEW RIVER MCAF, NC US",18.0916666666667
"199",1994,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.0666666666667
"200",1995,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.6181818181818
"201",1995,"NEW RIVER MCAF, NC US",17.7166666666667
"202",1995,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.3166666666667
"203",1996,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.4166666666667
"204",1996,"NEW RIVER MCAF, NC US",16.6916666666667
"205",1996,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.0916666666667
"206",1997,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.4916666666667
"207",1997,"NEW RIVER MCAF, NC US",16.8416666666667
"208",1997,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17
"209",1998,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.5916666666667
"210",1998,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.7416666666667
"211",1998,"NEW RIVER MCAF, NC US",18.3833333333333
"212",1998,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.6333333333333
"213",1999,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.4916666666667
"214",1999,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",16.225
"215",1999,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.0916666666667
"216",1999,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.4833333333333
"217",2000,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.7583333333333
"218",2000,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",15.3666666666667
"219",2000,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.3083333333333
"220",2000,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.0666666666667
"221",2001,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.25
"222",2001,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",16.0666666666667
"223",2001,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.8
"224",2001,"NEW RIVER MCAF, NC US",17.25
"225",2001,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.8333333333333
"226",2002,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",18.1166666666667
"227",2002,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",16.7166666666667
"228",2002,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.425
"229",2002,"NEW RIVER MCAF, NC US",17.3
"230",2002,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.9416666666667
"231",2003,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.175
