Estimate Status,Year,Species,Sub_group,Total_catch_(A+B1+B2),PSE
FINAL,1986,OTHER FISHES,OTHER FISHES,159857,30
FINAL,1986,PORGIES,OTHER PORGIES,1856,67.3
FINAL,1986,PORGIES,PINFISHES,3549748,25.4
FINAL,1986,PORGIES,RED PORGY,5662,76.6
FINAL,1986,PORGIES,SHEEPSHEAD,140344,59.1
FINAL,1986,PUFFERS,PUFFERS,1324103,42.3
FINAL,1986,SEA BASSES,BLACK SEA BASS,789808,31.8
FINAL,1986,SEA BASSES,EPINEPHELUS GROUPERS,300,104.5
FINAL,1986,SEA BASSES,MYCTEROPERCA GROUPERS,1302,96.8
FINAL,1986,SEA BASSES,OTHER SEA BASSES,103340,71.7
FINAL,1986,SEAROBINS,SEAROBINS,121662,42.3
FINAL,1986,SNAPPERS,GRAY SNAPPER,300,104.5
FINAL,1986,SNAPPERS,RED SNAPPER,759,103.6
FINAL,1986,TEMPERATE BASSES,STRIPED BASS,35267,70.9
FINAL,1986,TEMPERATE BASSES,WHITE PERCH,876263,58
FINAL,1986,TOADFISHES,TOADFISHES,199908,44.5
FINAL,1986,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,2405,72.7
FINAL,1986,TUNAS AND MACKERELS,KING MACKEREL,173492,28.9
FINAL,1986,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,29252,34.5
FINAL,1986,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,95786,32
FINAL,1986,TUNAS AND MACKERELS,SPANISH MACKEREL,1314554,42.9
FINAL,1986,WRASSES,OTHER WRASSES,61752,68
FINAL,1986,WRASSES,TAUTOG,18815,53.8
FINAL,1987,BARRACUDAS,BARRACUDAS,2673,37.1
FINAL,1987,BLUEFISH,BLUEFISH,4650329,13.4
FINAL,1987,CARTILAGINOUS FISHES,DOGFISH SHARKS,472252,26.2
FINAL,1987,CARTILAGINOUS FISHES,OTHER SHARKS,359140,29.7
FINAL,1987,CARTILAGINOUS FISHES,SKATES/RAYS,250822,29.8
