County,Land Cover,1996 sq.mi,2001 sq.mi,2006 sq.mi,2011 sq.mi,2016 sq.mi,,,,,,,,,,
Greene,SCB,11.29,9.46,9.28,11.38,12.8,,,,,,,,,,
Greene,WDW,52.98,48.74,49.22,49.52,49.66,,,,,,,,,,
Greene,EMW,1.87,3.53,2.67,2.26,2.05,,,,,,,,,,
Greene,BAR,0.05,0.02,0.2,0.19,0.17,,,,,,,,,,
Greene,WTR,1.63,1.76,1.88,1.93,2.01,,,,,,,,,,
Hertford,HID,1.28,1.44,1.52,1.69,1.85,,,,,,,,,,
Hertford,LID,7.66,7.96,7.99,8.16,8.3,,,,,,,,,,
Hertford,OSD,4.42,4.71,4.74,4.86,5.16,,,,,,,,,,
Hertford,GRS,6.86,7.82,20.12,6.25,11.05,,,,,,,,,,
Hertford,AGR,93.71,94.22,94.71,92.55,92.46,,,,,,,,,,
Hertford,FOR,134.48,129.33,114.87,125.87,130.94,,,,,,,,,,
Hertford,SCB,27.24,30.21,33.26,38.26,27.94,,,,,,,,,,
Hertford,WDW,74.35,73.85,72,72.94,72.76,,,,,,,,,,
Hertford,EMW,1.79,2.1,2.33,0.65,1.1,,,,,,,,,,
Hertford,BAR,0.2,0.33,0.3,0.24,0.24,,,,,,,,,,
Hertford,WTR,8.42,8.44,8.57,8.93,8.61,,,,,,,,,,
Hoke,HID,1.34,1.43,1.9,2.23,2.55,,,,,,,,,,
Hoke,LID,12.83,13.4,13.8,14.67,14.9,,,,,,,,,,
Hoke,OSD,4.07,4.71,5.26,6.16,6.33,,,,,,,,,,
Hoke,GRS,19.71,20.37,15.97,14.78,16.46,,,,,,,,,,
Hoke,AGR,76.74,77.08,76.3,75.91,75.75,,,,,,,,,,
Hoke,FOR,156.66,155.24,156.13,156.53,152.63,,,,,,,,,,
Hoke,SCB,29.56,29.19,32,31.32,33.07,,,,,,,,,,
Hoke,WDW,72.1,70.73,71.1,70.52,70.13,,,,,,,,,,
Hoke,EMW,2.64,2.93,2.35,2.63,2.95,,,,,,,,,,
Hoke,BAR,14.88,15.14,15.38,15.43,15.36,,,,,,,,,,
Hoke,WTR,1.8,2.12,2.14,2.15,2.19,,,,,,,,,,
