Estimate_status,Year,Species_group,Sub_group,Total_harvest_(A+B1),PSE,Total_weight_lb,PSE,Total_weight_kg,PSE
FINAL,1984,SNAPPERS,RED SNAPPER,11475,127.5,24214,127.5,10983,127.5
FINAL,1984,TEMPERATE BASSES,STRIPED BASS,3622,102.9,4792,102.9,2173,102.9
FINAL,1984,TOADFISHES,TOADFISHES,10357,87.2,5708,87.2,2589,87.2
FINAL,1984,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,1639,127.5,3614,127.5,1639,127.5
FINAL,1984,TUNAS AND MACKERELS,KING MACKEREL,131026,36.8,1228325,39.8,557165,39.8
FINAL,1984,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,5518,53,45356,53.6,20573,53.6
FINAL,1984,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,3277,54,36838,54.8,16710,54.8
FINAL,1984,TUNAS AND MACKERELS,SPANISH MACKEREL,559885,48.9,807486,49.1,366273,49.1
FINAL,1985,BLUEFISH,BLUEFISH,3706930,19.6,7001181,36.9,3175715,36.9
FINAL,1985,CARTILAGINOUS FISHES,DOGFISH SHARKS,86890,35.3,342451,62.3,155335,62.3
FINAL,1985,CARTILAGINOUS FISHES,OTHER SHARKS,57205,37.6,1282195,54.2,581600,54.2
FINAL,1985,CARTILAGINOUS FISHES,SKATES/RAYS,92686,86.8,386818,76.7,175459,76.7
FINAL,1985,CATFISHES,SALTWATER CATFISHES,7937,68.2,6619,76.1,3002,76.1
FINAL,1985,CODS AND HAKES,RED HAKE,3988,102.6,0,.,0,.
FINAL,1985,DOLPHINS,DOLPHINS,23535,52.1,247724,59.9,112367,59.9
FINAL,1985,DRUMS,ATLANTIC CROAKER,1670056,22.5,629242,20.5,285422,20.5
FINAL,1985,DRUMS,BLACK DRUM,17735,58.4,12217,59.9,5542,59.9
FINAL,1985,DRUMS,KINGFISHES,1049269,30.5,481199,26.1,218270,26.1
FINAL,1985,DRUMS,OTHER DRUM,432841,57.5,347017,53.7,157406,53.7
FINAL,1985,DRUMS,RED DRUM,57702,33.3,175291,25.6,79511,25.6
FINAL,1985,DRUMS,SPOT,25539489,29.9,8830039,32.3,4005279,32.3
FINAL,1985,DRUMS,SPOTTED SEATROUT,309555,27.5,452658,31.4,205324,31.4
FINAL,1985,DRUMS,WEAKFISH,1010772,17.9,796974,23.2,361505,23.2
FINAL,1985,FLOUNDERS,SOUTHERN FLOUNDER,216,99.2,206,99.2,93,99.2
FINAL,1985,FLOUNDERS,SUMMER FLOUNDER,2012982,41.5,2153031,45.3,976608,45.3
FINAL,1985,GRUNTS,OTHER GRUNTS,24685,94.4,7140,95.4,3238,95.4
FINAL,1985,GRUNTS,PIGFISH,1124337,46.9,370956,57.4,168265,57.4
FINAL,1985,HERRINGS,HERRINGS,221301,38.5,55172,37.6,25026,37.6
FINAL,1985,JACKS,BLUE RUNNER,6230,96.7,9788,96.7,4440,96.7
FINAL,1985,JACKS,CREVALLE JACK,36585,47.7,41283,47.3,18726,47.3
FINAL,1985,JACKS,FLORIDA POMPANO,872182,44.5,240533,42.5,109105,42.5
FINAL,1985,JACKS,GREATER AMBERJACK,11526,62,161809,54.1,73396,54.1
FINAL,1985,JACKS,OTHER JACKS,11839,66.8,15789,63.1,7162,63.1
FINAL,1985,MULLETS,MULLETS,984441,50.3,666018,55,302104,55
FINAL,1985,OTHER FISHES,OTHER FISHES,288671,74.3,41394,29.1,18776,29.1
FINAL,1985,PORGIES,OTHER PORGIES,23633,66,26968,56,12232,56
FINAL,1985,PORGIES,PINFISHES,1016728,26.8,242511,25.9,110002,25.9
FINAL,1985,PORGIES,SHEEPSHEAD,12691,72.4,42573,75.9,19311,75.9
FINAL,1985,PUFFERS,PUFFERS,166909,80,93993,84.5,42635,84.5
FINAL,1985,SEA BASSES,BLACK SEA BASS,1065029,35.8,526216,46.1,238690,46.1
FINAL,1985,SEA BASSES,EPINEPHELUS GROUPERS,651,101.5,1543,101.5,700,101.5
FINAL,1985,SEA BASSES,MYCTEROPERCA GROUPERS,18121,56.7,22405,76.1,10163,76.1
FINAL,1985,SEA BASSES,OTHER SEA BASSES,209639,83.9,46306,84.3,21004,84.3
FINAL,1985,SEAROBINS,SEAROBINS,579,51.3,128,51.3,58,51.3
FINAL,1985,SNAPPERS,GRAY SNAPPER,10735,93.6,12385,93.7,5618,93.7
FINAL,1985,SNAPPERS,OTHER SNAPPERS,6659,71.9,10861,88.5,4927,88.5
FINAL,1985,SNAPPERS,RED SNAPPER,69561,95.6,65524,95.6,29721,95.6
FINAL,1985,TEMPERATE BASSES,STRIPED BASS,20910,64.3,29964,64.3,13592,64.3
FINAL,1985,TEMPERATE BASSES,WHITE PERCH,142461,60.4,39739,61.3,18026,61.3
FINAL,1985,TOADFISHES,TOADFISHES,93425,53.3,44349,60.6,20116,60.6
FINAL,1985,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,8375,45.5,32437,49.5,14713,49.5
FINAL,1985,TUNAS AND MACKERELS,ATLANTIC MACKEREL,107422,92.9,0,.,0,.
FINAL,1985,TUNAS AND MACKERELS,KING MACKEREL,273004,41.7,2695124,42.8,1222500,42.8
FINAL,1985,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,72466,34.5,592224,34.4,268631,34.4
FINAL,1985,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,69449,52.7,1593446,55.9,722783,55.9
FINAL,1985,TUNAS AND MACKERELS,SPANISH MACKEREL,441051,38.9,819680,40.7,371804,40.7
FINAL,1985,WRASSES,OTHER WRASSES,17697,98.7,34498,98.7,15648,98.7
FINAL,1985,WRASSES,TAUTOG,30989,70.3,24226,72,10989,72
FINAL,1986,BARRACUDAS,BARRACUDAS,1000,85.7,7296,79.2,3310,79.2
FINAL,1986,BLUEFISH,BLUEFISH,5184834,31.5,16245390,30.2,7368860,30.2
FINAL,1986,CARTILAGINOUS FISHES,DOGFISH SHARKS,66439,29.1,151531,36.4,68734,36.4
FINAL,1986,CARTILAGINOUS FISHES,OTHER SHARKS,17596,64.6,277586,55,125912,55
FINAL,1986,CARTILAGINOUS FISHES,SKATES/RAYS,21623,93.1,141858,95,64347,95
FINAL,1986,CATFISHES,FRESHWATER CATFISHES,16957,67.3,12546,70.1,5691,70.1
FINAL,1986,DOLPHINS,DOLPHINS,49810,30.1,478136,32.1,216881,32.1
FINAL,1986,DRUMS,ATLANTIC CROAKER,1298595,24.4,453024,28,205490,28
FINAL,1986,DRUMS,BLACK DRUM,30377,60.2,77384,66.9,35101,66.9
FINAL,1986,DRUMS,KINGFISHES,1804670,37,783383,36.1,355340,36.1
FINAL,1986,DRUMS,RED DRUM,310934,50.7,648779,51.1,294284,51.1
FINAL,1986,DRUMS,SPOT,7611684,31.5,1726927,31.4,783329,31.4
FINAL,1986,DRUMS,SPOTTED SEATROUT,954354,19,1022380,25.1,463749,25.1
FINAL,1986,DRUMS,WEAKFISH,2049746,28.9,1455912,27.1,660397,27.1
FINAL,1986,FLOUNDERS,SOUTHERN FLOUNDER,123122,35.8,192989,39.7,87539,39.7
FINAL,1986,FLOUNDERS,SUMMER FLOUNDER,3228832,65.4,3753337,79.5,1702502,79.5
FINAL,1986,GRUNTS,OTHER GRUNTS,300,104.5,231,104.5,105,104.5
FINAL,1986,GRUNTS,PIGFISH,291274,21.8,70893,24.2,32157,24.2
FINAL,1986,HERRINGS,HERRINGS,117846,54.6,25980,54.6,11785,54.6
FINAL,1986,JACKS,CREVALLE JACK,38731,67.3,10814,70.4,4905,70.4
FINAL,1986,JACKS,FLORIDA POMPANO,3707493,25.9,747326,25.7,338985,25.7
FINAL,1986,JACKS,GREATER AMBERJACK,11315,38.3,214814,38.5,97439,38.5
FINAL,1986,JACKS,OTHER JACKS,349340,30.9,469303,31.9,212874,31.9
FINAL,1986,MULLETS,MULLETS,93905,61,82324,59.1,37342,59.1
FINAL,1986,OTHER FISHES,OTHER FISHES,31647,43.8,537490,70.9,243804,70.9
FINAL,1986,PORGIES,OTHER PORGIES,1856,67.3,1212,82.3,550,82.3
FINAL,1986,PORGIES,PINFISHES,2028388,32.4,441760,33.1,200381,33.1
FINAL,1986,PORGIES,RED PORGY,5115,84.1,5860,81.3,2658,81.3
FINAL,1986,PORGIES,SHEEPSHEAD,132061,62,399925,59.8,181405,59.8
FINAL,1986,PUFFERS,PUFFERS,446691,56.5,155760,57,70652,57
FINAL,1986,SEA BASSES,BLACK SEA BASS,417742,39,178493,31,80964,31
FINAL,1986,SEA BASSES,EPINEPHELUS GROUPERS,300,104.5,30826,104.5,13983,104.5
FINAL,1986,SEA BASSES,OTHER SEA BASSES,4608,55.6,1016,55.6,461,55.6
FINAL,1986,SEAROBINS,SEAROBINS,2392,73.7,310,103.8,141,103.8
FINAL,1986,SNAPPERS,GRAY SNAPPER,300,104.5,154,104.5,70,104.5
FINAL,1986,SNAPPERS,RED SNAPPER,759,103.6,2672,103.6,1212,103.6
FINAL,1986,TEMPERATE BASSES,STRIPED BASS,14183,100.5,23194,100.5,10521,100.5
FINAL,1986,TEMPERATE BASSES,WHITE PERCH,807236,61.5,275154,63.4,124809,63.4
FINAL,1986,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,2405,72.7,6865,74.3,3114,74.3
FINAL,1986,TUNAS AND MACKERELS,KING MACKEREL,173390,28.9,1593772,31.2,722930,31.2
FINAL,1986,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,25394,38.5,299668,42.9,135928,42.9
FINAL,1986,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,95418,32.1,2621951,27.6,1189309,27.6
FINAL,1986,TUNAS AND MACKERELS,SPANISH MACKEREL,872052,39.2,1055730,37.8,478876,37.8
FINAL,1986,WRASSES,OTHER WRASSES,12487,74.1,15894,89.8,7209,89.8
FINAL,1986,WRASSES,TAUTOG,16004,62.6,21987,62.7,9973,62.7
FINAL,1987,BARRACUDAS,BARRACUDAS,2042,44.1,53964,64.3,24478,64.3
FINAL,1987,BLUEFISH,BLUEFISH,3248002,13.8,8542577,18.4,3874887,18.4
FINAL,1987,CARTILAGINOUS FISHES,DOGFISH SHARKS,227905,33.8,572154,34.6,259527,34.6
FINAL,1987,CARTILAGINOUS FISHES,OTHER SHARKS,96406,80.4,2515178,81.5,1140877,81.5
